crime_id,date,year,area,latitude,longitude,crime_type,crime_category,gender_victim,age_victim,no_of_cctv,response_time_min,crime_reported,weather_condition,day_of_week,is_festival_day,crime_outcome,crime_date_parsed
9de9a04f-31c3-43a5-89fb-30e79eb3f8c1,2010-01-01,2010,Majra,30.405692,78.151169,Pickpocketing,Property,Other,72,10,55.53,1,Stormy,Friday,0,Solved,2010-01-01
7700cfbf-a765-4ed1-bde8-039aeac37acd,2010-01-01,2010,Mohanpur,30.305047,78.103365,Kidnapping,Violent,Male,47,2,29.36,1,Foggy,Friday,0,Solved,2010-01-01
4dbaa79b-a60e-4a43-b416-bde32f3d99de,2010-01-01,2010,Mohanpur,30.259536,77.969439,Arson,Violent,Male,68,8,22.5,1,Clear,Friday,0,Solved,2010-01-01
fc60467f-28b1-4f98-ac18-dc436f85221a,2010-01-02,2010,Subhash Road,30.313474,78.079646,Burglary,Non-Violent,Male,52,5,38.83,1,Cloudy,Saturday,0,Unsolved,2010-01-02
a762a4e5-f0e9-472a-9caa-77c6f4af4022,2010-01-03,2010,Majra,30.304258,78.068316,Burglary,Property,Male,66,4,24.14,1,Cloudy,Sunday,0,Under Investigation,2010-01-03
c6d2169a-25c4-44b2-a481-9d296055f8e0,2010-01-03,2010,Mohanpur,30.309523,78.181625,Domestic Violence,Violent,Female,74,5,51.64,0,Clear,Sunday,0,Under Investigation,2010-01-03
94f52329-4779-4f5d-a0f0-e07e2297b192,2010-01-04,2010,Gulab Bagh,30.320906,77.94997,Pickpocketing,White-Collar,Unknown,11,2,38.57,0,Foggy,Monday,0,Solved,2010-01-04
0bb5fa7c-6f2e-4f47-bdad-22cf85e2941e,2010-01-05,2010,Subhash Road,30.294261,78.172537,Fraud,Property,Male,66,2,25.19,1,Clear,Tuesday,0,Unsolved,2010-01-05
eb34eefb-fec0-4f4c-ae7e-91baece3204f,2010-01-05,2010,Malsi,30.302999,77.982994,Cyber Crime,Violent,Other,24,0,22.06,1,Clear,Tuesday,0,Under Investigation,2010-01-05
415051ee-d78d-4d7f-9009-203eba6c98c9,2010-01-05,2010,Industrial Area,30.4448,77.993213,Illegal Possession,Non-Violent,Unknown,75,7,5.89,0,Foggy,Tuesday,0,Under Investigation,2010-01-05
48e47e35-e82e-44ac-b921-565c1adb250e,2010-01-06,2010,CID Colony,30.394466,77.92085,Kidnapping,Property,Other,17,2,54.35,1,Rainy,Wednesday,0,Unsolved,2010-01-06
8dbe4175-55c2-4726-a35d-0f4db82546a5,2010-01-07,2010,Majra,30.375385,77.974365,Kidnapping,Non-Violent,Unknown,71,3,34.66,1,Stormy,Thursday,0,Under Investigation,2010-01-07
e57a083f-add7-4aa9-bf85-7755919108d5,2010-01-07,2010,Majra,30.288871,78.169671,Harassment,Property,Unknown,50,3,18.52,0,Foggy,Thursday,1,Under Investigation,2010-01-07
788cbc2e-163c-4fca-a613-9e97b2d45aa7,2010-01-07,2010,Majra,30.305987,78.157235,Harassment,Violent,Other,22,1,32.87,0,Cloudy,Thursday,0,Under Investigation,2010-01-07
725e1145-609a-42a0-9649-72b1d53b41d5,2010-01-07,2010,Gulab Bagh,30.352137,77.969888,Domestic Violence,Violent,Female,26,9,11.93,0,Foggy,Thursday,0,Solved,2010-01-07
80bd2c75-7477-42cf-b37b-900619ecd72e,2010-01-07,2010,Saharanpur Road,30.447221,77.971291,Pickpocketing,Non-Violent,Male,64,0,43.77,0,Stormy,Thursday,0,Unsolved,2010-01-07
1a459a5e-2a46-4d40-a0fa-068224027484,2010-01-08,2010,Majra,30.359128,77.926752,Illegal Possession,Violent,Female,25,1,34.35,0,Clear,Friday,0,Solved,2010-01-08
fade542c-21e1-444b-84dd-01cd1ff9ab6c,2010-01-08,2010,Majra,30.300712,78.021557,Cyber Crime,Violent,Other,45,6,26.5,1,Foggy,Friday,0,Unsolved,2010-01-08
8021f97c-3237-4e9b-a5a1-ea3621cf9a72,2010-01-08,2010,Rajpur Road,30.309055,78.136707,Attempt to Murder,Violent,Other,63,9,11.82,0,Clear,Friday,0,Solved,2010-01-08
41b83202-11a9-4bf2-ab07-bd2f461f43c8,2010-01-09,2010,Mohkampur,30.385915,77.928582,Robbery,Non-Violent,Other,47,0,42.21,0,Clear,Saturday,0,Under Investigation,2010-01-09
c7027974-e18e-498c-8e79-640fc2b246e7,2010-01-12,2010,Mohanpur,30.440078,78.009839,Pickpocketing,White-Collar,Unknown,26,6,12.1,0,Clear,Tuesday,0,Under Investigation,2010-01-12
336f5d19-7e25-41ec-8120-4274ee602b8b,2010-01-14,2010,Industrial Area,30.418167,78.102159,Murder,Non-Violent,Female,57,5,52.09,1,Foggy,Thursday,1,Under Investigation,2010-01-14
c90294b3-e0e7-4800-b4e4-b36c6ce6a401,2010-01-15,2010,Mohanpur,30.364808,78.05468,Fraud,Violent,Male,59,1,41.28,0,Rainy,Friday,0,Solved,2010-01-15
94e3b4ab-42a8-4112-9cdc-7cd2be05fd53,2010-01-15,2010,Gulab Bagh,30.270248,77.995988,Burglary,White-Collar,Other,74,9,14.97,1,Foggy,Friday,0,Under Investigation,2010-01-15
b2d9d57c-0028-4f8b-afcf-57befb7e0cc4,2010-01-15,2010,Subhash Road,30.284349,78.031253,Drug Possession,Property,Male,41,1,47.08,1,Foggy,Friday,0,Unsolved,2010-01-15
d7b5e096-ba66-4e3a-ae4e-7c8fcdebb8a3,2010-01-18,2010,Mohanpur,30.383499,78.071019,Fraud,Property,Female,16,2,47.39,1,Clear,Monday,1,Under Investigation,2010-01-18
2595b76d-a967-430a-afea-edc68fa5f964,2010-01-18,2010,Industrial Area,30.256955,78.113686,Fraud,Violent,Female,69,0,9.1,1,Clear,Monday,0,Unsolved,2010-01-18
957eb642-4a60-4be5-b12a-64d040492588,2010-01-18,2010,Rajpur Road,30.383788,77.96207,Fraud,Property,Male,50,3,40.22,1,Stormy,Monday,0,Under Investigation,2010-01-18
43b2c7d9-6006-4f02-ac84-f5e744e31f52,2010-01-19,2010,Prem Nagar,30.321237,78.008698,Pickpocketing,Non-Violent,Male,72,6,53.58,0,Stormy,Tuesday,0,Solved,2010-01-19
0b8be71a-9da6-42f0-9e5c-7de6b2433d79,2010-01-19,2010,Kudkan,30.282456,78.119463,Assault,Non-Violent,Other,60,6,27.74,1,Rainy,Tuesday,0,Unsolved,2010-01-19
4f54f3ff-0d1b-49dc-976c-24777df8f79a,2010-01-20,2010,Majra,30.399505,78.109844,Forgery,Property,Other,59,3,12.87,0,Cloudy,Wednesday,0,Unsolved,2010-01-20
402a77fe-5c51-4f8a-a308-4c1f0a6c3d5a,2010-01-20,2010,Mohanpur,30.360088,78.051775,Burglary,Property,Other,12,6,27.69,1,Foggy,Wednesday,0,Solved,2010-01-20
17730325-98e4-41f8-937d-b1bbfc4a43b1,2010-01-21,2010,Subhash Road,30.28536,78.117399,Harassment,Property,Other,23,7,8.43,1,Foggy,Thursday,0,Under Investigation,2010-01-21
44755045-fc98-4c13-aee9-8265eb19323d,2010-01-21,2010,Subhash Road,30.324199,78.144737,Burglary,Violent,Male,53,9,23.94,0,Rainy,Thursday,0,Solved,2010-01-21
bd2e1a0d-0615-416e-84b5-62b6c4ce5ca9,2010-01-22,2010,Mohkampur,30.36698,77.902203,Robbery,Violent,Unknown,65,3,51.51,0,Stormy,Friday,0,Unsolved,2010-01-22
094c19c1-1800-4a0a-909b-b5cb0b72d7a9,2010-01-22,2010,Prem Nagar,30.407456,77.984941,Assault,Violent,Female,53,0,16.73,1,Stormy,Friday,0,Solved,2010-01-22
ec8e7b02-194c-4416-88b7-03d5337d7cbe,2010-01-23,2010,Rajpur Road,30.310116,78.165542,Robbery,White-Collar,Other,17,3,11.2,0,Rainy,Saturday,0,Solved,2010-01-23
9ecfe000-cffe-4204-817a-939b19bd1523,2010-01-24,2010,Mohanpur,30.303034,77.918325,Harassment,Violent,Male,56,7,9.28,1,Clear,Sunday,0,Solved,2010-01-24
bae610cd-fb40-46e1-9eea-8a6a72e38aab,2010-01-25,2010,Malsi,30.346292,78.018128,Kidnapping,White-Collar,Female,30,10,15.15,1,Stormy,Monday,0,Solved,2010-01-25
66979185-7232-49cf-86d6-4519bac0f7b9,2010-01-26,2010,Mohanpur,30.337839,78.079367,Kidnapping,Property,Male,10,6,13.31,1,Rainy,Tuesday,0,Solved,2010-01-26
04b6a4a2-fbbf-4922-9f70-edd75c294bd6,2010-01-26,2010,Shivaji Colony,30.389235,78.080365,Fraud,Property,Male,75,10,12.84,0,Foggy,Tuesday,0,Unsolved,2010-01-26
ee07c2a3-3126-425d-9355-cca931f15d10,2010-01-27,2010,Prem Nagar,30.261721,78.028173,Harassment,Non-Violent,Male,51,1,10.57,0,Stormy,Wednesday,0,Unsolved,2010-01-27
56eba5a5-e854-4d88-a9d0-fdb083164922,2010-01-27,2010,Industrial Area,30.386302,78.156476,Fraud,Non-Violent,Female,13,1,5.87,0,Foggy,Wednesday,1,Under Investigation,2010-01-27
e3d57cf9-6188-4741-b5d1-fb55737fd874,2010-01-28,2010,Subhash Road,30.30948,78.062596,Fraud,Property,Other,22,0,45.03,1,Clear,Thursday,1,Unsolved,2010-01-28
850c471f-69c0-4e59-b1cc-cf03bd5b26e8,2010-01-28,2010,Malsi,30.308515,77.960043,Assault,Violent,Other,48,9,55.91,0,Stormy,Thursday,0,Unsolved,2010-01-28
4a24402d-a918-4834-8056-3a066c297492,2010-01-28,2010,Malsi,30.42459,77.972703,Assault,White-Collar,Unknown,23,10,20.92,1,Clear,Thursday,0,Unsolved,2010-01-28
337a0575-360a-402a-96f7-9b0a408a2384,2010-01-29,2010,Industrial Area,30.255708,78.113977,Burglary,Violent,Male,47,2,49.56,0,Foggy,Friday,0,Unsolved,2010-01-29
c6e45a2f-f188-4151-aabe-72b4902be6ac,2010-01-30,2010,Gulab Bagh,30.41897,78.014199,Domestic Violence,Non-Violent,Male,14,9,14.36,1,Stormy,Saturday,0,Solved,2010-01-30
b476b824-fc7b-4f6f-ae77-9070f8da687c,2010-01-30,2010,Saharanpur Road,30.379606,77.903652,Assault,Violent,Male,49,0,56.09,0,Rainy,Saturday,0,Under Investigation,2010-01-30
b42752da-dd41-4d6c-9f98-d062056817c0,2010-01-30,2010,Prem Nagar,30.301297,77.938487,Pickpocketing,Property,Female,67,1,35.99,0,Rainy,Saturday,0,Unsolved,2010-01-30
88bcab07-813e-428b-89fd-b2213f243840,2010-01-30,2010,Shivaji Colony,30.385661,78.121812,Harassment,Property,Female,17,8,10.58,1,Clear,Saturday,0,Under Investigation,2010-01-30
2a8bba49-bbce-4640-a783-6533fcfc33ee,2010-02-01,2010,Majra,30.328328,77.955445,Fraud,Violent,Unknown,72,5,43.32,0,Stormy,Monday,0,Under Investigation,2010-02-01
946d9709-7df8-4c6c-850f-1ec059b0277b,2010-02-01,2010,Majra,30.331826,78.06076,Assault,Non-Violent,Unknown,56,6,29.09,1,Rainy,Monday,0,Solved,2010-02-01
65902bb5-8b8f-4173-8fad-f453d9bef4ad,2010-02-01,2010,Saharanpur Road,30.350793,77.971062,Attempt to Murder,Violent,Male,45,0,3.75,1,Foggy,Monday,0,Solved,2010-02-01
231f8839-bfcc-4591-bf41-10f6d05e477c,2010-02-02,2010,Mohanpur,30.342028,78.102883,Harassment,White-Collar,Other,33,0,22.98,0,Stormy,Tuesday,0,Solved,2010-02-02
b34ff818-8613-4d83-845b-6be5f48909cb,2010-02-04,2010,Subhash Road,30.370565,78.00998,Chain Snatching,Non-Violent,Male,60,0,47.4,1,Clear,Thursday,0,Unsolved,2010-02-04
98818161-1f8e-42f4-9ddc-5108eb20de01,2010-02-05,2010,Majra,30.356961,77.999098,Forgery,Non-Violent,Female,71,1,13.06,1,Clear,Friday,1,Under Investigation,2010-02-05
daa45ca3-4fdb-4790-b2d8-221beba77d29,2010-02-06,2010,Rajpur Road,30.351045,78.12988,Fraud,Non-Violent,Unknown,53,0,31.3,0,Stormy,Saturday,0,Solved,2010-02-06
89d0ff86-c8a3-43b7-81eb-8f0832bed5e9,2010-02-07,2010,Mohanpur,30.395828,78.014741,Pickpocketing,Violent,Male,30,0,24.56,1,Stormy,Sunday,0,Unsolved,2010-02-07
3b51c257-fae7-4a35-a4da-4b4aa6738e43,2010-02-07,2010,Gulab Bagh,30.445749,77.903263,Stalking,Non-Violent,Unknown,32,3,11.6,0,Clear,Sunday,0,Unsolved,2010-02-07
ffcbdf2e-e474-4a2b-abf6-abc4158c8d00,2010-02-07,2010,Mohkampur,30.393558,77.986599,Cyber Crime,Property,Female,47,5,10.17,1,Clear,Sunday,0,Under Investigation,2010-02-07
f9ee046d-feac-4b7f-9559-355351a80d20,2010-02-07,2010,Shivaji Colony,30.356641,78.133311,Drug Possession,Non-Violent,Unknown,58,5,36.37,0,Rainy,Sunday,0,Under Investigation,2010-02-07
f2c8e26a-f5c9-40d9-96a4-914c9ebf6feb,2010-02-08,2010,Majra,30.328618,78.195852,Attempt to Murder,Violent,Male,20,8,26.46,1,Rainy,Monday,1,Solved,2010-02-08
c46c65bf-8049-4a77-9081-867fcd938647,2010-02-08,2010,Majra,30.448838,77.975227,Harassment,Violent,Other,41,4,38.04,1,Clear,Monday,0,Unsolved,2010-02-08
74387f81-d065-4337-8d33-a8d2b1d73908,2010-02-08,2010,Shivaji Colony,30.381214,77.909474,Cyber Crime,White-Collar,Other,32,4,59.18,0,Stormy,Monday,0,Under Investigation,2010-02-08
081fe3b7-4fd9-4050-b129-254c363708c1,2010-02-09,2010,Majra,30.284682,78.009286,Attempt to Murder,Violent,Unknown,19,4,39.48,1,Stormy,Tuesday,0,Solved,2010-02-09
046599d9-dd22-4ea8-aa0e-6074cd7fe3ff,2010-02-10,2010,Gulab Bagh,30.43067,77.976749,Smuggling,Property,Unknown,73,5,34.43,1,Rainy,Wednesday,0,Unsolved,2010-02-10
d8d426ef-e17b-4f9f-bbb3-79557046f8a7,2010-02-10,2010,Rajpur Road,30.41775,78.14264,Drug Trafficking,Violent,Other,21,7,11.16,1,Cloudy,Wednesday,0,Solved,2010-02-10
65b1e3d3-294c-4bf3-ad2e-305a67707017,2010-02-11,2010,Mohanpur,30.439825,77.988707,Domestic Violence,Property,Female,13,3,3.14,1,Foggy,Thursday,0,Solved,2010-02-11
51d25025-af11-4768-a1ab-aaf652f44b81,2010-02-11,2010,Gulab Bagh,30.367104,78.166184,Robbery,Property,Male,14,5,4.49,0,Foggy,Thursday,0,Solved,2010-02-11
794dbbf8-7e6a-4602-87bd-199d9c8edd9b,2010-02-11,2010,Subhash Road,30.25449,78.168489,Assault,Non-Violent,Female,16,5,39.64,1,Rainy,Thursday,0,Unsolved,2010-02-11
e3f05da7-241c-40a9-8e7f-5dd295b5b7ab,2010-02-12,2010,Mohanpur,30.357322,77.96131,Assault,Property,Other,29,10,25.38,0,Rainy,Friday,0,Solved,2010-02-12
9c2321f6-0cbc-492f-a395-b3bcbc1679f2,2010-02-12,2010,Mohanpur,30.4454,78.043939,Fraud,Violent,Female,60,3,45.92,1,Clear,Friday,0,Solved,2010-02-12
5ee92b1b-1df2-4753-a4f3-077be5584434,2010-02-12,2010,Gulab Bagh,30.347249,78.012644,Chain Snatching,Non-Violent,Other,59,3,27.33,1,Foggy,Friday,0,Under Investigation,2010-02-12
